alert,baroaltitude,callsign,geoaltitude,heading,icao24,lastcontact,lastposupdate,lat,lon,onground,spi,squawk,time,velocity,vertrate,aircraft_model,wingspan_m,length_m,has_dimensions,is_grounded,is_stationary,is_likely_taxiing
False,320.04,MKN162,327.66,269.618033795271,acfa3d,1563815109.188,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815110,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,350.52000000000004,PNK164,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815120,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,312.42,QPX167,327.66,269.618033795271,acfa3d,1563815111.145,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815120,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,350.52000000000004,HXP168,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815130,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,312.42,XAL170,327.66,269.618033795271,acfa3d,1563815111.145,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815130,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,350.52000000000004,RYS171,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815140,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,312.42,XAL172,327.66,269.618033795271,acfa3d,1563815111.145,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815140,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,350.52000000000004,HXP173,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815150,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,312.42,VOR174,327.66,269.618033795271,acfa3d,1563815111.145,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815150,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,350.52000000000004,HXP175,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815160,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,4480.56,KLY176,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815160,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,350.52000000000004,TQN179,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815170,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,4480.56,KLY181,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815170,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,350.52000000000004,KLY183,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815180,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,472.44,JUV185,441.96000000000004,268.3445134608807,aa2e6f,1563815179.943,1563815179.435,33.430938720703125,-112.02951049804688,False,False,2647,1563815180,89.03597505019947,14.305280000000002,A319,35.814,33.8328,True,False,False,False
False,4480.56,RYS188,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815180,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,403.86,RYS190,403.86,270.0,a47d05,1563815189.963,1563815189.925,33.44089314088983,-111.97826151945154,False,False,6231,1563815190,78.709932,-5.52704,B738,35.78352,39.4716,True,False,False,False
False,350.52000000000004,TQN193,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815190,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,617.22,KLY195,502.92,268.30535293146283,aa2e6f,1563815189.963,1563815189.471,33.43065164856991,-112.03907869300062,False,False,2647,1563815190,86.97907826875206,14.630400000000002,A319,35.814,33.8328,True,False,False,False
False,4480.56,JUV198,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815190,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,373.38,LVR200,388.62,270.0,a47d05,1563815197.876,1563815192.882,33.44089314088983,-111.98078389070471,False,False,6231,1563815200,78.709932,-3.5763200000000004,B738,35.78352,39.4716,True,False,False,False
False,350.52000000000004,ZET203,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815200,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,746.76,XAL205,762.0,268.30535293146283,aa2e6f,1563815199.976,1563815199.61,33.430389404296875,-112.04857177734374,False,False,2647,1563815200,86.97907826875206,8.77824,A319,35.814,33.8328,True,False,False,False
False,4480.56,RYS208,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815200,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,320.04,HXP211,335.28000000000003,269.63506366426935,a47d05,1563815209.453,1563815208.603,33.440846588652015,-111.9942925900829,False,False,6231,1563815210,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,False,False,False
False,4480.56,XAL212,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815210,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,320.04,MKN214,335.28000000000003,269.63506366426935,a47d05,1563815213.061,1563815208.603,33.440846588652015,-111.9942925900829,False,False,6231,1563815220,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,False,False,False
False,4480.56,PNK215,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815220,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,PNK218,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815230,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,4480.56,TQN220,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815230,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,MKN223,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815240,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,434.34000000000003,VOR225,426.72,269.32197508924867,aaadb2,1563815239.851,1563815239.211,33.43098449707031,-112.02357788085936,False,False,,1563815240,86.94712388152837,12.679680000000001,B737,35.78352,33.61944,True,False,False,False
False,4480.56,PNK228,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815240,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,JUV231,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815250,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,571.5,QPX234,525.78,268.96464681345503,aaadb2,1563815249.907,1563815249.792,33.43083785752118,-112.03330526546554,False,False,1677,1563815250,85.41164863257143,14.955520000000002,B737,35.78352,33.61944,True,False,False,False
False,4480.56,LVR236,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815250,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,KLY238,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815260,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,685.8000000000001,MKN239,678.1800000000001,271.3478872801986,aaadb2,1563815259.992,1563815259.107,33.430938720703125,-112.04203491210936,False,False,1677,1563815260,87.47968577959443,6.827520000000001,B737,35.78352,33.61944,True,False,False,False
False,4480.56,HXP241,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815260,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,QPX243,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815270,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,4480.56,HXP244,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815270,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,XAL245,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815280,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,4480.56,ZET247,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815280,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,ZET250,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815290,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,4480.56,LVR253,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815290,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,ZET255,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815300,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,4480.56,RYS258,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815300,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,LVR259,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815310,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,4480.56,XAL262,327.66,269.618033795271,acfa3d,1563815154.304,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815310,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,VOR264,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815320,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
True,4480.56,JUV266,327.66,269.618033795271,acfa3d,1563815312.142,1563815098.403,33.440826416015625,-111.98545532226562,False,True,6245,1563815320,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,QPX268,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815330,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
True,4480.56,ZET270,327.66,269.618033795271,acfa3d,1563815312.142,1563815098.403,33.440826416015625,-111.98545532226562,False,True,6245,1563815330,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
False,472.44,RYS273,426.72,269.6902961000411,ad237f,1563815329.929,1563815329.803,33.440753484176376,-112.03106315768495,False,False,0736,1563815330,95.17353037903311,19.182080000000003,B738,35.78352,39.4716,True,False,False,False
True,1005.84,JUV274,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815340,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
