icao,runway,operation,timestamp,distance_to_tower_nm,altitude_agl_ft,ground_speed_knots,vertical_rate_fpm,heading_deg,wind_along_runway,wind_cross_runway,time_of_day,runway_alignment_error,aircraft_category,weather_tmpf,weather_relh,weather_drct,weather_sknt,runway_label,dt,active_runways,ac_cat_heavy_jet,ac_cat_light_prop,ac_cat_medium_jet,ac_cat_regional_jet,ac_cat_turboprop,ac_cat_unknown,op_landing,op_takeoff,heading_deg_missing,wind_along_runway_missing,wind_cross_runway_missing,runway_alignment_error_missing,vertical_rate_fpm_missing,weather_tmpf_missing,weather_relh_missing,weather_drct_missing,weather_sknt_missing,date
a9dce9,8,landing,1764633610.04,0.23732477599003526,0.0,0.0,0.0,154.7,2.364032260820166,-1.846984425976975,0.002777777777777778,76.69999999999999,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:10.039999962,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a466fc,25L,landing,1764633610.75,0.9576931546897088,0.0,0.0,0.0,171.6,-2.3640322608201663,1.8469844259769745,0.002777777777777778,79.69999999999999,medium_jet,69.0,32.1,40.0,3.0,2,2025-12-02 00:00:10.750000000,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
aaa5ff,8,landing,1764633611.07,0.3606156846218745,0.0,0.0,0.0,289.7,2.364032260820166,-1.846984425976975,0.0030555555555555557,211.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:11.069999933,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
aa02ab,25L,landing,1764633611.07,0.23787236932877737,0.0,0.0,0.0,171.6,-2.3640322608201663,1.8469844259769745,0.0030555555555555557,79.69999999999999,unknown,69.0,32.1,40.0,3.0,2,2025-12-02 00:00:11.069999933,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
a58fdf,8,landing,1764633611.82,0.35876197917571095,0.0,0.0,0.0,270.0,2.364032260820166,-1.846984425976975,0.0030555555555555557,192.0,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:11.819999933,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
aaa5ff,8,landing,1764633611.85,0.364068772807845,0.0,0.0,0.0,289.7,2.364032260820166,-1.846984425976975,0.0030555555555555557,211.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:11.849999905,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
acd1f6,8,landing,1764633612.73,0.37797379685558,0.0,0.0,0.0,267.2,2.364032260820166,-1.846984425976975,0.0033333333333333335,189.2,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:12.730000019,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a10d82,8,landing,1764633613.58,0.2489858248686895,0.0,0.0,0.0,171.6,2.364032260820166,-1.846984425976975,0.003611111111111111,79.69999999999999,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:13.579999924,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
a40cd9,07R,landing,1764633613.85,0.18485805066917096,0.0,0.0,0.0,171.6,2.364032260820166,-1.846984425976975,0.003611111111111111,79.69999999999999,medium_jet,69.0,32.1,40.0,3.0,1,2025-12-02 00:00:13.849999905,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
ad61de,8,landing,1764633614.24,0.4605343721040132,0.0,0.1,0.0,25.3,2.364032260820166,-1.846984425976975,0.0038888888888888888,52.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:14.240000010,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
